ALTERDATA;NORMALIZADO;ITEM;PCG;QUANTIDADE
GERENTE DO NUCLEO JURIDICO;GERENTE DO NÚCLEO JURÍDICO;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE DO SERVICO DE HEMOTERAPIA;GERENTE DO SERVIÇO DE HEMOTERAPIA;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE FINANCEIRO;GERENTE FINANCEIRO;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE GERAL;GERENTE GERAL;Máscara N95;PCG UNIVERSAL;1
GERENTE GERAL ADMINISTRATIVO;GERENTE GERAL ADMINISTRATIVO;Máscara N95;PCG UNIVERSAL;1
GERENTE GERAL CLINICO;GERENTE GERAL CLÍNICO;Máscara N95;PCG UNIVERSAL;1
GERENTE GERAL DA DIRETORIA DE ENGENHARIA E MANUTEN;GERENTE GERAL DA DIRETORIA DE ENGENHARIA E MANUTENÇÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE GERAL DA DIRETORIA EXECUTIVA FINANCEIRA;GERENTE GERAL DA DIRETORIA EXECUTIVA FINANCEIRA;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE GERAL DE ABASTECIMENTO;GERENTE GERAL DE ABASTECIMENTO;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE GERAL DE ENFERMAGEM;GERENTE GERAL DE ENFERMAGEM;Máscara N95;PCG UNIVERSAL;1
GERENTE GERAL DE GESTAO DE PESSOAS;GERENTE GERAL DE GESTÃO DE PESSOAS;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE GERAL DE PLANEJAM, GOVERNANÇA E INOVAÇÃO;GERENTE GERAL DE PLANEJAMENTO, GOVERNANÇA E INOVAÇÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE GERAL DE SAUDE, SEGURANÇA E MEIO AMBIENTE;GERENTE GERAL DE SAÚDE, SEGURANÇA E MEIO AMBIENTE;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE MULTIPROFISSIONAL;GERENTE MULTIPROFISSIONAL;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE NUCLEO JURIDICO ADMINISTRATIVO;GERENTE NÚCLEO JURÍDICO ADMINISTRATIVO;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE NUCLEO JURIDICO TRABALHISTA;GERENTE NÚCLEO JURÍDICO TRABALHISTA;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE TECNICO;GERENTE TÉCNICO;Máscara N95;PCG UNIVERSAL;1
GERENTE(A) DE CONTRATOS DE GESTÃO;GERENTE DE CONTRATOS DE GESTÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE(A) DE LOGISTICA FARMACEUTICO;GERENTE DE LOGÍSTICA FARMACÊUTICO;SEM EPI;SEM MAPEAMENTO NO PCG;0
GERENTE(A) DE MONITORAMENTO E AVALIAÇÃO;GERENTE DE MONITORAMENTO E AVALIAÇÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
JORNALISTA;JORNALISTA;Máscara N95;PCG UNIVERSAL;1
JOVEM APRENDIZ;JOVEM APRENDIZ;Máscara N95;PCG UNIVERSAL;1
LACTARISTA;LACTARISTA;Máscara N95;PCG UNIVERSAL;1
MAQUEIRO;MAQUEIRO;Máscara N95;PCG UNIVERSAL;1
MEDICO (A) CLINICO (A);MÉDICO CLÍNICO;Máscara N95;PCG UNIVERSAL;1
MÉDICO (a) REGULADOR;MÉDICO REGULADOR;Máscara N95;PCG UNIVERSAL;1
MEDICO CARDIOLOGISTA;MÉDICO CARDIOLOGISTA;Máscara N95;PCG UNIVERSAL;1
MEDICO DO TRABALHO;MÉDICO DO TRABALHO;Máscara N95;PCG UNIVERSAL;1
MÉDICO ENDOCRINOLOGISTA;MÉDICO ENDOCRINOLOGISTA;Máscara N95;PCG UNIVERSAL;1
MEDICO GINECOLOGISTA E OBSTETRA;MÉDICO GINECOLOGISTA E OBSTETRA;Máscara N95;PCG UNIVERSAL;1
MEDICO HEMATOLOGISTA;MÉDICO HEMATOLOGISTA;Máscara N95;PCG UNIVERSAL;1
MEDICO HEMATOLOGISTA;MÉDICO HEMATOLOGISTA;Luva Látex;PCG UNIVERSAL;1
MEDICO ORTOPEDISTA;MÉDICO ORTOPEDISTA;Máscara N95;PCG UNIVERSAL;1
MEDICO ORTOPEDISTA E TRAUMATOLOGISTA;MÉDICO ORTOPEDISTA E TRAUMATOLOGISTA;Máscara N95;PCG UNIVERSAL;1
MEDICO PEDIATRA;MÉDICO PEDIATRA;Máscara N95;PCG UNIVERSAL;1
MEDICO PSIQUIATRA;MÉDICO PSIQUIATRA;Máscara N95;PCG UNIVERSAL;1
MEMBRO DA COMISSÃO DE SINDICÂNCIA;MEMBRO DA COMISSÃO DE SINDICÂNCIA;SEM EPI;SEM MAPEAMENTO NO PCG;0
MOTORISTA;MOTORISTA;Luva de Látex;LACEN;1
MOTORISTA;MOTORISTA;Máscara N95;LACEN;1
MOTORISTA;MOTORISTA;Máscara N95;PCG UNIVERSAL;1
MOTORISTA CATEGORIA D;MOTORISTA CATEGORIA D;Máscara N95;PCG UNIVERSAL;1
MOTORISTA DA PRESIDENCIA;MOTORISTA DA PRESIDÊNCIA;SEM EPI;SEM MAPEAMENTO NO PCG;0
MOTORISTA DE AMBULANCIA;MOTORISTA DE AMBULÂNCIA;Luva de Látex;LACEN;1
MOTORISTA DE AMBULANCIA;MOTORISTA DE AMBULÂNCIA;Máscara N95;LACEN;1
MOTORISTA DE AMBULANCIA;MOTORISTA DE AMBULÂNCIA;Máscara N95;PCG UNIVERSAL;1
NUTRICIONISTA;NUTRICIONISTA;Máscara N95;PCG UNIVERSAL;1
ODONTOLOGO;ODONTÓLOGO;Máscara N95;PCG UNIVERSAL;1
OPERADOR (A) DO EXAME;OPERADOR DO EXAME;SEM EPI;SEM MAPEAMENTO NO PCG;0
OPERADOR ANALISTA DA REGULAÇÃO AMBULATORIAL;OPERADOR ANALISTA DA REGULAÇÃO AMBULATORIAL;Máscara N95;PCG UNIVERSAL;1
OPERADOR ANALISTA DE CALL CENTER;OPERADOR ANALISTA DE CALL CENTER;Máscara N95;PCG UNIVERSAL;1
OPERADOR DE REGULACAO;OPERADOR DE REGULAÇÃO;Máscara N95;PCG UNIVERSAL;1
OUVIDOR;OUVIDOR;Máscara N95;PCG UNIVERSAL;1
PREGOEIRO (A);PREGOEIRO;SEM EPI;SEM MAPEAMENTO NO PCG;0
PREGOEIRO CSL;PREGOEIRO CSL;SEM EPI;SEM MAPEAMENTO NO PCG;0
PRESIDENTE DA COMISSÃO DE SINDICÂNCIA;PRESIDENTE DA COMISSÃO DE SINDICÂNCIA;SEM EPI;SEM MAPEAMENTO NO PCG;0
PRESIDENTE DA CSL;PRESIDENTE DA CSL;SEM EPI;SEM MAPEAMENTO NO PCG;0
PRESIDENTE DA EMSERH;PRESIDENTE DA EMSERH;SEM EPI;SEM MAPEAMENTO NO PCG;0
PROJETISTA;PROJETISTA;SEM EPI;SEM MAPEAMENTO NO PCG;0
PSICOLOGO;PSICÓLOGO;Máscara N95;PCG UNIVERSAL;1
PSICOPEDAGOGO;PSICOPEDAGOGO;Máscara N95;PCG UNIVERSAL;1
RECEPCIONISTA;RECEPCIONISTA;Máscara N95;PCG UNIVERSAL;1
SECRETARIO EXECUTIVO - SETOR FINANCEIRO;SECRETÁRIO EXECUTIVO - SETOR FINANCEIRO;SEM EPI;SEM MAPEAMENTO NO PCG;0
SECRETARIO(A);SECRETÁRIO;Máscara N95;PCG UNIVERSAL;1
SECRETÁRIO(A) DO CONSELHO;SECRETÁRIO DO CONSELHO;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERINTENDENTE DE INT. DO TRAB. EDUCAÇÃO NA SAUDE;SUPERINTENDENTE DE INT. DO TRAB. EDUCAÇÃO NA SAÚDE;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERVISOR (A) DE ENFERMAGEM CCIH;SUPERVISOR DE ENFERMAGEM CCIH;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR (A) DE ENFERMAGEM DE UTI;SUPERVISOR DE ENFERMAGEM DE UTI;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR (A) DE NUTRIÇÃO;SUPERVISOR DE NUTRIÇÃO;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR (A) DE RECURSOS HUMANOS;SUPERVISOR DE RECURSOS HUMANOS;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR DE ENFERMAGEM - CCIH/NHE;SUPERVISOR DE ENFERMAGEM CCIH/NHE;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR DE ENFERMAGEM - NIR;SUPERVISOR DE ENFERMAGEM NIR;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR DE ENFERMAGEM - URGENCIA;SUPERVISOR DE ENFERMAGEM URGÊNCIA;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR DE ENFERMAGEM ALAS;SUPERVISOR DE ENFERMAGEM ALAS;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR DE ENFERMAGEM C.C e CME;SUPERVISOR DE ENFERMAGEM C.C E CME;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR DE ENFERMAGEM CENTRO CIRURGICO;SUPERVISOR DE ENFERMAGEM CENTRO CIRÚRGICO;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR DE ENFERMAGEM DE AMBULATÓRIO;SUPERVISOR DE ENFERMAGEM DE AMBULATÓRIO;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR DE ENFERMAGEM QUALIDADE E VIEP;SUPERVISOR DE ENFERMAGEM QUALIDADE E VIEP;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERVISOR DE ENFERMAGEM UTI NEO;SUPERVISOR DE ENFERMAGEM UTI NEO;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR DE ENSINO;SUPERVISOR DE ENSINO;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERVISOR DE FISIOTERAPIA;SUPERVISOR DE FISIOTERAPIA;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR DE FISIOTERAPIA UTI ADULTO;SUPERVISOR DE FISIOTERAPIA UTI ADULTO;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR DE MANUTENÇÃO;SUPERVISOR DE MANUTENÇÃO;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR DE PORTARIA;SUPERVISOR DE PORTARIA;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR DE RADIOLOGIA;SUPERVISOR DE RADIOLOGIA;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) ADMINISTRATIVO;SUPERVISOR ADMINISTRATIVO;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) ADMINSTRATIVO DIARISTA DA UTI;SUPERVISOR ADMINISTRATIVO DIARISTA DA UTI;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) CEMARC;SUPERVISOR CEMARC;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE ABASTECIMENTO;SUPERVISOR DE ABASTECIMENTO;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERVISOR(A) DE ALMOXARIFADO;SUPERVISOR DE ALMOXARIFADO;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE AMBULATÓRIO;SUPERVISOR DE AMBULATÓRIO;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE AMBULATÓRIO SAE;SUPERVISOR DE AMBULATÓRIO SAE;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE ARQUIVO;SUPERVISOR DE ARQUIVO;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE ASSISTENCIA FARMACEUTICA;SUPERVISOR DE ASSISTÊNCIA FARMACÊUTICA;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE ATENDIMENTO;SUPERVISOR DE ATENDIMENTO;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE CONTRATOS;SUPERVISOR DE CONTRATOS;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERVISOR(A) DE CUSTO;SUPERVISOR DE CUSTO;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERVISOR(A) DE EDUCACAO FISICA;SUPERVISOR DE EDUCAÇÃO FÍSICA;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERVISOR(A) DE ENFERMAGEM;SUPERVISOR DE ENFERMAGEM;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE ENFERMAGEM CME;SUPERVISOR DE ENFERMAGEM CME;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE ENFERMAGEM DA EPIDEMIOLOGIA;SUPERVISOR DE ENFERMAGEM DA EPIDEMIOLOGIA;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE ENFERMAGEM DE EMERGÊNCIA;SUPERVISOR DE ENFERMAGEM DE EMERGÊNCIA;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE ENFERMAGEM DE INTERNAÇÃO;SUPERVISOR DE ENFERMAGEM DE INTERNAÇÃO;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE ENFERMAGEM ENFERMARIA;SUPERVISOR DE ENFERMAGEM ENFERMARIA;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE ENFERMAGEM NEP;SUPERVISOR DE ENFERMAGEM NEP;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE ENFERMAGEM NHE;SUPERVISOR DE ENFERMAGEM NHE;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE ENFERMAGEM NSP;SUPERVISOR DE ENFERMAGEM NSP;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE ENFERMAGEM OBSTETRICIA;SUPERVISOR DE ENFERMAGEM OBSTETRÍCIA;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE ENFERMAGEM SPA;SUPERVISOR DE ENFERMAGEM SPA;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERVISOR(A) DE FARMACIA;SUPERVISOR DE FARMÁCIA;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE FATURAMENTO;SUPERVISOR DE FATURAMENTO;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE FONOAUDIOLOGIA;SUPERVISOR DE FONOAUDIOLOGIA;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE GESTAO;SUPERVISOR DE GESTÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERVISOR(A) DE GESTÃO DE LEITOS;SUPERVISOR DE GESTÃO DE LEITOS;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERVISOR(A) DE GESTAO EM SAUDE;SUPERVISOR DE GESTÃO EM SAÚDE;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERVISOR(A) DE HOTELARIA;SUPERVISOR DE HOTELARIA;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE LOGISTICA;SUPERVISOR DE LOGÍSTICA;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERVISOR(A) DE PATRIMONIO;SUPERVISOR DE PATRIMÔNIO;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERVISOR(A) DE PSICOLOGIA;SUPERVISOR DE PSICOLOGIA;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DE TERAPIA OCUPACIONAL;SUPERVISOR DE TERAPIA OCUPACIONAL;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERVISOR(A) DE TRANSPORTES;SUPERVISOR DE TRANSPORTES;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DO NEP;SUPERVISOR DO NEP;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) DO NUCLEO DE SEGURANCA DO PACIENTE;SUPERVISOR DO NÚCLEO DE SEGURANÇA DO PACIENTE;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERVISOR(A) DO REGISTRO HOSPITALAR DE CANCER;SUPERVISOR DO REGISTRO HOSPITALAR DE CÂNCER;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) EM INFORMATICA;SUPERVISOR EM INFORMÁTICA;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) MULTI ASSISTENCIAL;SUPERVISOR MULTI ASSISTENCIAL;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERVISOR(A) MULTIPROFISSIONAL;SUPERVISOR MULTIPROFISSIONAL;SEM EPI;SEM MAPEAMENTO NO PCG;0
SUPERVISOR(A) SERVICO SOCIAL;SUPERVISOR SERVIÇO SOCIAL;Máscara N95;PCG UNIVERSAL;1
SUPERVISOR(A) TECNICO(A);SUPERVISOR TÉCNICO;Máscara N95;PCG UNIVERSAL;1
SUPERVISORA(A) ADM DIARISTA DA PEDIATRIA;SUPERVISORA ADMINISTRATIVO DIARISTA DA PEDIATRIA;Máscara N95;PCG UNIVERSAL;1
SUPORTE AO USUARIO;SUPORTE AO USUÁRIO;SEM EPI;SEM MAPEAMENTO NO PCG;0
TECNICO (A) DE ENFERMAGEM DO TRABALHO;TÉCNICO DE ENFERMAGEM DO TRABALHO;Máscara N95;PCG UNIVERSAL;1
TÉCNICO DE IMOBILIZAÇÃO;TÉCNICO DE IMOBILIZAÇÃO;Máscara N95;PCG UNIVERSAL;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Luva de Látex;HEMOMAR;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Luva de Látex;HEMONÚCLEO - BALSAS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Luva de Látex;HEMONÚCLEO - CAXIAS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Luva de Látex;HEMONÚCLEO - IMPERATRIZ;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Luva de Látex;HEMONÚCLEO - PINHEIROS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Luva de Látex;HEMONÚCLEO - SANTA INÊS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Luva de Látex;HEMONÚCLEO PEDREIRAS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Luva de Látex;HOSPITAL DA ILHA;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Luva de Látex;HOSPITAL MACRORREGIONAL DE CAXIAS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Luva de Látex;HOSPITAL PRESIDENTE VARGAS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Luva de Látex;HOSPITAL REGIONAL ADÉLIA MATOS FONSECA;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Luva de Látex;HOSPITAL REGIONAL TIMBIRAS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Luva de Látex;LACEN;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Luva de Látex;UPA - SÃO JOÃO DOS PATOS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Máscara N95;HEMOMAR;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Máscara N95;HEMONÚCLEO - BALSAS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Máscara N95;HEMONÚCLEO - CAXIAS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Máscara N95;HEMONÚCLEO - IMPERATRIZ;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Máscara N95;HEMONÚCLEO - PINHEIROS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Máscara N95;HEMONÚCLEO - SANTA INÊS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Máscara N95;HEMONÚCLEO PEDREIRAS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Máscara N95;HOSPITAL DA ILHA;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Máscara N95;HOSPITAL MACRORREGIONAL DE CAXIAS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Máscara N95;HOSPITAL PRESIDENTE VARGAS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Máscara N95;HOSPITAL REGIONAL ADÉLIA MATOS FONSECA;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Máscara N95;HOSPITAL REGIONAL TIMBIRAS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Máscara N95;LACEN;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Máscara N95;UPA - SÃO JOÃO DOS PATOS;1
TECNICO DE LABORATORIO;TÉCNICO DE LABORATÓRIO;Máscara N95;PCG UNIVERSAL;1
TECNICO DE NECROPSIA;TÉCNICO DE NECROPSIA;Bota de PVC;HOSPITAL PRESIDENTE VARGAS;1
TECNICO DE NECROPSIA;TÉCNICO DE NECROPSIA;Máscara N95;HOSPITAL PRESIDENTE VARGAS;1
TECNICO DE NECROPSIA;TÉCNICO DE NECROPSIA;Máscara N95;SERVIÇO DE VERIFICAÇÃO DE ÓBITOS - IMPERATRIZ;1
TECNICO DE NECROPSIA;TÉCNICO DE NECROPSIA;Bota de PVC;SERVIÇO DE VERIFICAÇÃO DE ÓBITOS - IMPERATRIZ;1
TECNICO DE NECROPSIA;TÉCNICO DE NECROPSIA;Bota de PVC;SVO - SÃO LUÍS;1
TECNICO DE NECROPSIA;TÉCNICO DE NECROPSIA;Máscara N95;SVO - SÃO LUÍS;1
TECNICO DE NECROPSIA;TÉCNICO DE NECROPSIA;Máscara N95;PCG UNIVERSAL;1
TECNICO DE NECROPSIA;TÉCNICO DE NECROPSIA;Máscara N95;UPA - SÃO JOÃO DOS PATOS;1
TECNICO DE NECROPSIA;TÉCNICO DE NECROPSIA;Bota de PVC;UPA - SÃO JOÃO DOS PATOS;1
TECNICO ELETRICISTA;TÉCNICO ELETRICISTA;SEM EPI;SEM MAPEAMENTO NO PCG;0
TECNICO EM HIGIENE BUCAL;TÉCNICO EM HIGIENE BUCAL;Máscara N95;PCG UNIVERSAL;1
TECNICO EM INFORMATICA;TÉCNICO EM INFORMÁTICA;Máscara N95;PCG UNIVERSAL;1
TECNICO EM MANUTENÇÃO PREDIAL;TÉCNICO EM MANUTENÇÃO PREDIAL;Máscara N95;PCG UNIVERSAL;1
TECNICO EM NUTRICAO;TÉCNICO EM NUTRIÇÃO;Máscara N95;PCG UNIVERSAL;1
TECNICO EM RADIOLOGIA;TÉCNICO EM RADIOLOGIA;Protetores de gônadas;PCG UNIVERSAL;1
TECNICO EM RADIOLOGIA;TÉCNICO EM RADIOLOGIA;Óculos plumbíferos;PCG UNIVERSAL;1
TECNICO EM RADIOLOGIA;TÉCNICO EM RADIOLOGIA;Protetores de tireoide;PCG UNIVERSAL;1
TECNICO EM RADIOLOGIA;TÉCNICO EM RADIOLOGIA;Avental de chumbo ou plumbífero;PCG UNIVERSAL;1
TECNICO EM RADIOLOGIA;TÉCNICO EM RADIOLOGIA;Máscara N95;PCG UNIVERSAL;1
TECNICO EM SEGURANCA DO TRABALHO;TÉCNICO EM SEGURANÇA DO TRABALHO;Máscara N95;PCG UNIVERSAL;1
TECNICO EM TOMOGRAFIA;TÉCNICO EM TOMOGRAFIA;Máscara N95;PCG UNIVERSAL;1
TECNICO NIVEL SUPERIOR;TÉCNICO NÍVEL SUPERIOR;Máscara N95;PCG UNIVERSAL;1
TECNICO(A) DE ENFERMAGEM;TÉCNICO DE ENFERMAGEM;Máscara N95;HEMONÚCLEO BACABAL;1
TECNICO(A) DE ENFERMAGEM;TÉCNICO DE ENFERMAGEM;Luva Látex;HEMONÚCLEO BACABAL;1
TECNICO(A) DE ENFERMAGEM;TÉCNICO DE ENFERMAGEM;Máscara N95;PCG UNIVERSAL;1
TECNICO(A) DE ENFERMAGEM;TÉCNICO DE ENFERMAGEM;Bota de PVC;SERVIÇO DE VERIFICAÇÃO DE ÓBITOS - IMPERATRIZ;1
TECNICO(A) DE ENFERMAGEM;TÉCNICO DE ENFERMAGEM;Máscara N95;SERVIÇO DE VERIFICAÇÃO DE ÓBITOS - IMPERATRIZ;1
TECNICO(A) DE ENFERMAGEM DE UTI;TÉCNICO DE ENFERMAGEM DE UTI;Luva Nitrílica;HOSPITAL REGIONAL DE ALTO ALEGRE DO MARANHÃO;1
TECNICO(A) DE ENFERMAGEM DE UTI;TÉCNICO DE ENFERMAGEM DE UTI;Máscara 6200;HOSPITAL REGIONAL DE ALTO ALEGRE DO MARANHÃO;1
TECNICO(A) DE ENFERMAGEM DE UTI;TÉCNICO DE ENFERMAGEM DE UTI;Luva Nitrílica;HOSPITAL REGIONAL DE BARRA DO CORDA;1
TECNICO(A) DE ENFERMAGEM DE UTI;TÉCNICO DE ENFERMAGEM DE UTI;Máscara 6200;HOSPITAL REGIONAL DE BARRA DO CORDA;1
TECNICO(A) DE ENFERMAGEM DE UTI;TÉCNICO DE ENFERMAGEM DE UTI;Luva Nitrílica;HOSPITAL REGIONAL DE PERITORÓ;1
TECNICO(A) DE ENFERMAGEM DE UTI;TÉCNICO DE ENFERMAGEM DE UTI;Máscara 6200;HOSPITAL REGIONAL DE PERITORÓ;1
TECNICO(A) DE ENFERMAGEM DE UTI;TÉCNICO DE ENFERMAGEM DE UTI;Luva Nitrílica;HOSPITAL REGIONAL DE SANTA LUZIA DO PARUÁ;1
TECNICO(A) DE ENFERMAGEM DE UTI;TÉCNICO DE ENFERMAGEM DE UTI;Máscara 6200;HOSPITAL REGIONAL DE SANTA LUZIA DO PARUÁ;1
TECNICO(A) DE ENFERMAGEM DE UTI;TÉCNICO DE ENFERMAGEM DE UTI;Máscara N95;HOSPITAL REGIONAL DE ALTO ALEGRE DO MARANHÃO;1
TECNICO(A) DE ENFERMAGEM DE UTI;TÉCNICO DE ENFERMAGEM DE UTI;Máscara N95;HOSPITAL REGIONAL DE ALTO ALEGRE DO MARANHÃO;1
TECNICO(A) DE ENFERMAGEM DE UTI;TÉCNICO DE ENFERMAGEM DE UTI;Máscara N95;HOSPITAL REGIONAL DE BARRA DO CORDA;1
TECNICO(A) DE ENFERMAGEM DE UTI;TÉCNICO DE ENFERMAGEM DE UTI;Máscara N95;HOSPITAL REGIONAL DE BARRA DO CORDA;1
TECNICO(A) DE ENFERMAGEM DE UTI;TÉCNICO DE ENFERMAGEM DE UTI;Máscara N95;HOSPITAL REGIONAL DE PERITORÓ;1
TECNICO(A) DE ENFERMAGEM DE UTI;TÉCNICO DE ENFERMAGEM DE UTI;Máscara N95;HOSPITAL REGIONAL DE PERITORÓ;1
TECNICO(A) DE ENFERMAGEM DE UTI;TÉCNICO DE ENFERMAGEM DE UTI;Máscara N95;HOSPITAL REGIONAL DE SANTA LUZIA DO PARUÁ;1
TECNICO(A) DE ENFERMAGEM DE UTI;TÉCNICO DE ENFERMAGEM DE UTI;Máscara N95;HOSPITAL REGIONAL DE SANTA LUZIA DO PARUÁ;1
TECNICO(A) DE ENFERMAGEM DE UTI;TÉCNICO DE ENFERMAGEM DE UTI;Máscara N95;PCG UNIVERSAL;1
TECNICO(A) DE MEIO AMBIENTE;TÉCNICO DE MEIO AMBIENTE;SEM EPI;SEM MAPEAMENTO NO PCG;0
TECNICO(A) EM ENGENHARIA CLINICA;TÉCNICO EM ENGENHARIA CLÍNICA;SEM EPI;SEM MAPEAMENTO NO PCG;0
TELEFONISTA;TELEFONISTA;Máscara N95;PCG UNIVERSAL;1
