ALTERDATA;NORMALIZADO;ITEM;PCG;QUANTIDADE
AUXILIAR DE ROUPARIA;AUXILIAR DE ROUPARIA;Luva de Látex;PCG UNIVERSAL;1
AUXILIAR DE ROUPARIA;AUXILIAR DE ROUPARIA;Óculos de proteção;PCG UNIVERSAL;1
AUXILIAR DE ROUPARIA;AUXILIAR DE ROUPARIA;Avental de PVC;PCG UNIVERSAL;1
AUXILIAR DE ROUPARIA;AUXILIAR DE ROUPARIA;Bota de PVC;PCG UNIVERSAL;1
AUXILIAR DE SERVICOS GERAIS;AUXILIAR DE SERVIÇOS GERAIS;Máscara N95;PCG UNIVERSAL;1
AUXILIAR DE SERVICOS GERAIS;AUXILIAR DE SERVIÇOS GERAIS;Bota de PVC;HOSPITAL REGIONAL TIMBIRAS;1
AUXILIAR DE SERVICOS GERAIS;AUXILIAR DE SERVIÇOS GERAIS;Avental de PVC;HOSPITAL REGIONAL TIMBIRAS;1
AUXILIAR DE SERVICOS GERAIS;AUXILIAR DE SERVIÇOS GERAIS;Óculos de proteção;HOSPITAL REGIONAL TIMBIRAS;1
AUXILIAR DE SERVICOS GERAIS;AUXILIAR DE SERVIÇOS GERAIS;Luva de Látex;HOSPITAL REGIONAL TIMBIRAS;1
AUXILIAR DE SERVICOS GERAIS;AUXILIAR DE SERVIÇOS GERAIS;Bota de PVC;HOSPITAL REGIONAL DE ALTO ALEGRE DO MARANHÃO;1
AUXILIAR DE SERVICOS GERAIS;AUXILIAR DE SERVIÇOS GERAIS;Avental de PVC;HOSPITAL REGIONAL DE ALTO ALEGRE DO MARANHÃO;1
AUXILIAR DE SERVICOS GERAIS;AUXILIAR DE SERVIÇOS GERAIS;Óculos de proteção;HOSPITAL REGIONAL DE ALTO ALEGRE DO MARANHÃO;1
AUXILIAR DE SERVICOS GERAIS;AUXILIAR DE SERVIÇOS GERAIS;Luva de Látex;HOSPITAL REGIONAL DE ALTO ALEGRE DO MARANHÃO;1
BIOMEDICO;BIOMÉDICO;Luva de Látex;PCG UNIVERSAL;1
BIOMEDICO;BIOMÉDICO;Máscara N95;PCG UNIVERSAL;1
BIOQUIMICO;BIOQUÍMICO;Luva de Látex;PCG UNIVERSAL;1
BIOQUIMICO;BIOQUÍMICO;Máscara N95;PCG UNIVERSAL;1
BIOQUIMICO/BIOMEDICO;BIOQUÍMICO/BIOMÉDICO;Luva de Látex;PCG UNIVERSAL;1
BIOQUIMICO/BIOMEDICO;BIOQUÍMICO/BIOMÉDICO;Máscara N95;PCG UNIVERSAL;1
BOMBEIRO CIVIL;BOMBEIRO CIVIL;Máscara N95;PCG UNIVERSAL;1
BOMBEIRO CIVIL;BOMBEIRO CIVIL;Talabarte de Segurança;PCG UNIVERSAL;1
BOMBEIRO CIVIL;BOMBEIRO CIVIL;Cinto de Segurança;PCG UNIVERSAL;1
CHEFE DA ASSESSORIA ESPECIAL DA PRESIDÊNCIA;CHEFE DA ASSESSORIA ESPECIAL DA PRESIDÊNCIA;SEM EPI;SEM MAPEAMENTO NO PCG;0
CHEFE DA AUDITORIA INTERNA;CHEFE DA AUDITORIA INTERNA;SEM EPI;SEM MAPEAMENTO NO PCG;0
CHEFE DE GABINETE;CHEFE DE GABINETE;SEM EPI;SEM MAPEAMENTO NO PCG;0
CHEFE DO NUCLEO DE CONTROLE INTERNO DA GESTAO;CHEFE DO NÚCLEO DE CONTROLE INTERNO DA GESTÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
CHEFE(A) DO DEPARTAMENTO JURIDICO;CHEFE DO DEPARTAMENTO JURÍDICO;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR (A) ADMINISTRATIVO;CONSULTOR ADMINISTRATIVO;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR (A) DE ABASTECIMENTO;CONSULTOR DE ABASTECIMENTO;Máscara N95;PCG UNIVERSAL;1
CONSULTOR (A) DE COMPRA HOSPITALAR;CONSULTOR DE COMPRA HOSPITALAR;Máscara N95;PCG UNIVERSAL;1
CONSULTOR (A) DE COMPRAS;CONSULTOR DE COMPRAS;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR (A) DE CONTABILIDADE;CONSULTOR DE CONTABILIDADE;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR (A) DE CONTRATOS;CONSULTOR DE CONTRATOS;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR (A) DE CONTRATOS DE GESTAO;CONSULTOR DE CONTRATOS DE GESTÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR (A) DE CONTROLE INTERNO FINANCEIRO;CONSULTOR DE CONTROLE INTERNO FINANCEIRO;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR (A) DE DESENVOLVIMENTO DE PARCEIROS;CONSULTOR DE DESENVOLVIMENTO DE PARCEIROS;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR (A) DE DESENVOLVIMENTO ORGANIZACIONAL;CONSULTOR DE DESENVOLVIMENTO ORGANIZACIONAL;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR (A) DE GESTAO DE CUSTOS;CONSULTOR DE GESTÃO DE CUSTOS;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR (A) DE MONITORAMENTO E AVALIACAO;CONSULTOR DE MONITORAMENTO E AVALIAÇÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR (A) DE PROCESSOS;CONSULTOR DE PROCESSOS;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR (A) DE RECRUTAMENTO E SELECAO;CONSULTOR DE RECRUTAMENTO E SELEÇÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR (A) DE RELACOES TRABALHISTAS;CONSULTOR DE RELAÇÕES TRABALHISTAS;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR (A) DE TREINAMENTO, DESEN. E EDUCAÇAO;CONSULTOR DE TREINAMENTO, DESEN. E EDUCAÇÃO;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR DE EDUCACAO RESIDENCIA E PESQUISA;CONSULTOR DE EDUCAÇÃO RESIDENCIA E PESQUISA;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR(A) DA ASSESSORIA INSTITUCIONAL;CONSULTOR DA ASSESSORIA INSTITUCIONAL;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR(A) DE ADMINISTRACAO DE BENEFICIOS;CONSULTOR DE ADMINISTRAÇÃO DE BENEFÍCIOS;SEM EPI;SEM MAPEAMENTO NO PCG;0
CONSULTOR(A) DE ESTRATEGIA E INDICADORES;CONSULTOR DE ESTRATÉGIA E INDICADORES;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORD. DE CONTROLE DE QUALIDADE DE CICLO DE SANGUE;COORDENADOR DE CONTROLE DE QUALIDADE DE CICLO DE SANGUE;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR (A) DE ENFERMAGEM UTI PEDIATRICA;COORDENADOR DE ENFERMAGEM UTI PEDIÁTRICA;Máscara N95;PCG UNIVERSAL;1
COORDENADOR (A) DE FONOUDIOLOGIA;COORDENADOR DE FONOAUDIOLOGIA;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR (A) DE HOTELARIA E ATENDIMENTO;COORDENADOR DE HOTELARIA E ATENDIMENTO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR (A) DE INFORMATICA;COORDENADOR DE INFORMÁTICA;Máscara N95;PCG UNIVERSAL;1
COORDENADOR (A) DE INFRAESTRUTURA;COORDENADOR DE INFRAESTRUTURA;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR (A) DE LABORATORIO;COORDENADOR DE LABORATÓRIO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR (A) DE RADIOLOGIA;COORDENADOR DE RADIOLOGIA;Máscara N95;PCG UNIVERSAL;1
COORDENADOR DE EDUCACAO RESIDENCIA E PESQUISA;COORDENADOR DE EDUCAÇÃO RESIDENCIA E PESQUISA;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR DE GESTAO DE FOLHA DE PAGAMENTO;COORDENADOR DE GESTÃO DE FOLHA DE PAGAMENTO;SEM EPI;SEM MAPEAMENTO NO PCG;0
COORDENADOR(A) ADMINISTRATIVO;COORDENADOR ADMINISTRATIVO;Máscara N95;PCG UNIVERSAL;1
COORDENADOR(A) CENTRAL DE REGULACAO ONCOLOGICA;COORDENADOR CENTRAL DE REGULAÇÃO ONCOLÓGICA;Máscara N95;PCG UNIVERSAL;1
